ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
5951,1,F,34,061500,DD,05,439  ,439  ,0,1,2004-12-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061500
1730520,1,F,37,060000,DD,05,545  ,434  ,3,0,2017-06-07 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,0,0615E0
3036,1,F,59,061700,DD,  ,     ,     ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061700
6486,1,F,63,060000,AA,01,406  ,406  ,3,1,2004-05-08 00:00:00.0000000,2022-05-26 00:00:00.0000000,1,1,061700
6486,1,F,63,060000,AA,01,406  ,406  ,3,1,2004-05-08 00:00:00.0000000,2022-05-26 00:00:00.0000000,1,1,061700
6486,1,F,63,060000,AA,01,406  ,406  ,3,1,2004-05-08 00:00:00.0000000,2022-05-26 00:00:00.0000000,1,1,061700
6486,1,F,63,060000,AA,01,406  ,406  ,3,1,2004-05-08 00:00:00.0000000,2022-05-26 00:00:00.0000000,1,1,061700
6486,1,F,63,060000,AA,01,406  ,406  ,3,1,2004-05-08 00:00:00.0000000,2022-05-26 00:00:00.0000000,1,1,061700
3925,1,F,60,0615G0,DD,01,427  ,427  ,0,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,0615G0
4761,1,F,42,060000,DD,05,515  ,515  ,3,0,2019-12-13 00:00:00.0000000,2019-12-17 00:00:00.0000000,1,0,0615F0
1074,1,M,36,061410,DD,07,500  ,500  ,3,1,2004-05-08 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,1,061410
711,1,M,60,060000,DD,05,220  ,220  ,3,0,2015-12-15 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061500
5176,1,F,91,061700,DD,  ,     ,106  ,0,1,2004-05-08 00:00:00.0000000,2020-09-23 00:00:00.0000000,1,1,061700
491,1,F,43,060000,DD,05,111  ,111  ,3,0,2004-05-08 00:00:00.0000000,2021-08-11 00:00:00.0000000,1,1,061610
491,1,F,43,060000,DD,05,111  ,111  ,3,0,2004-05-08 00:00:00.0000000,2021-08-11 00:00:00.0000000,1,1,061610
491,1,F,43,060000,DD,05,111  ,111  ,3,0,2004-05-08 00:00:00.0000000,2021-08-11 00:00:00.0000000,1,1,061610
6344,1,F,63,060000,BB,02,111  ,111  ,3,1,2004-05-08 00:00:00.0000000,2023-01-19 00:00:00.0000000,0,1,0615F0
6344,1,F,63,060000,BB,02,111  ,111  ,3,1,2004-05-08 00:00:00.0000000,2023-01-19 00:00:00.0000000,0,1,0615F0
7125,1,M,89,061700,DD,05,112  ,112  ,0,0,2009-07-15 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,061700
7801,1,M,63,060000,DD,01,241  ,244  ,3,0,2004-05-08 00:00:00.0000000,2020-10-26 00:00:00.0000000,1,1,0615F0
2238,1,M,98,060000,AA,09,112  ,112  ,0,1,2015-06-22 00:00:00.0000000,2023-02-09 00:00:00.0000000,0,0,061700
3360,1,M,51,060000,DD,01,114  ,114  ,3, ,2013-07-24 00:00:00.0000000,2023-04-26 00:00:00.0000000,1,0,061620
3360,1,M,51,060000,DD,01,114  ,114  ,3, ,2013-07-24 00:00:00.0000000,2023-04-26 00:00:00.0000000,1,0,061620
321,1,F,38,060000,DD,05,891  ,231  ,3,1,2005-07-27 00:00:00.0000000,2022-04-10 00:00:00.0000000,1,1,061700
